DQ577854,breast cancer
DQ588919,dysplastic liver nodules and hepatocellular carcinoma
DQ580140,gastric cancer
DQ571174,gastric cancer
DQ585247,Cardiovascular diseases (CDC,CF,CCS) cardicregeneration
DQ590749,gastric cancer
DQ571873,dysplastic liver nodules and hepatocellular carcinoma
DQ591522,gastric cancer
DQ593431,alzheimer disease
DQ595023,alzheimer disease
DQ596276,Cardiovascular diseases (CDC,CF,CCS) cardicregeneration
DQ596465,Cardiovascular diseases (CDC,CF,CCS) cardicregeneration
DQ596465,dysplastic liver nodules and hepatocellular carcinoma
DQ597397,renal cell carcinoma
DQ597945,gastric cancer
DQ597997,dysplastic liver nodules and hepatocellular carcinoma
DQ600116,gastric cancer
DQ600269,gastric cancer
DQ600689,gastric cancer
DQ574391,gastric cancer
DQ576200,alzheimer disease
DQ570485,gastric cancer
